Country,"July 1, 2013",% of,Average,Average,Rank,Estimated,Alternative,Date
(or dependent territory),projection,pop.,relative,absolute,,doubling,figure,
,,,annual,annual,,time,,
,,,growth,growth,,(Years),,
,,,(%),,,,,
Nigeria,"17,70,96,000",16.1,3.24,"55,51,000",1,22,"16,42,91,827",2013
Ethiopia,"8,66,14,000",7.88,2.67,"22,53,000",2,26,"8,66,13,986","July 1, 2013"
Egypt,"8,46,05,000",7.69,2.29,"18,93,000",3,31,"8,36,61,000","January 1, 2013"
Democratic Republic of the Congo,"7,46,18,000",6.78,3.23,"23,34,000",4,22,"7,19,71,524",2013
South Africa,"5,29,82,000",4.82,1.35,"7,04,000",5,52,"5,29,81,991","July 1, 2013"
Tanzania,"4,59,50,000",4.18,2.69,"12,04,000",6,26,"4,49,28,923","August 26, 2012"
Kenya,"4,32,91,000",3.94,3.01,"12,66,000",7,23,"3,86,10,097","August 24, 2009"
Algeria,"3,82,95,000",3.48,2.11,"7,92,000",8,33,"3,79,00,000","January 1, 2013"
Uganda,"3,53,63,000",3.22,3.61,"12,32,000",9,20,"3,41,31,400","July 1, 2012"
Sudan,"3,51,50,000",3.2,2.52,"8,63,000",10,28,"3,08,94,000","April 22, 2008"
Morocco,"3,29,50,000",3,1.08,"3,53,000",11,64,"3,31,46,900","January 20, 2014"
Ghana,"2,64,41,000",2.4,2.56,"6,59,000",12,27,"2,46,58,823","September 26, 2010"
Mozambique,"2,44,91,000",2.23,3.33,"7,90,000",13,21,"2,37,00,715",2012
Ivory Coast,"2,39,19,000",2.17,3.09,"7,17,000",14,23,"2,32,02,000",2012
Madagascar,"2,18,52,000",1.99,2.75,"5,85,000",15,26,"2,06,96,070",2011
Angola,"2,12,56,000",1.93,3.14,"6,47,000",16,22,"2,06,09,294",2012
Cameroon,"2,09,30,000",1.9,2.66,"5,43,000",17,26,"2,03,86,799",2012
Niger,"1,74,93,000",1.59,3.85,"6,49,000",18,18,"1,71,29,076","December 10, 2012"
Burkina Faso,"1,73,23,000",1.58,3.28,"5,50,000",19,21,"1,73,22,796",2013
Mali,"1,66,78,000",1.52,3.29,"5,32,000",20,21,"1,45,28,662","April 1, 2009"
