Europe,North America,South America,Asian countries with  <75% muslims,Countries with >75% muslims
Albania,Antigua and Barbuda,Argentina,Armenia,Oman
Andorra,Bahamas,Bolivia,Bhutan,Iran
Armenia,Barbados,Brazil,Brunei,Iraq
Austria,Belize,Chile,Cambodia,Pakistan
Azerbaijan,Canada,Colombia,Israel,Palestine
Belarus,Costa Rica,Ecuador,Japan,Qatar
Belgium,Cuba,Guyana,Bhutan,Saudi Arabia
Bosnia and Herz.,Dominica,Paraguay,Lao PDR,Syria
Bulgaria,Dominican Rep.,Ecuador,Lebanon,Turkmenistan
Croatia,El Salvador,Peru,Malaysia,United Arab Emirates
N. Cyprus,Grenada,Suriname,Mongolia,Tajikistan
Czech Rep.,Guatemala,Uruguay,Myanmar,Yemen
Denmark,Haiti,Venezuela,Nepal,Uzbekistan
Estonia,Honduras,,Korea,Kazakhstan
Finland,Jamaica,,Russia,Kuwait
France,Mexico,,Singapore,Kyrgyzstan
Georgia,Nicaragua,,Dem. Rep. Korea,Jordan
Germany,Panama,,Sri Lanka,Bangladesh
Greece,St. Kitts and Nevis,,Taiwan,Indonesia
Hungary,St. Lucia,,Thailand,Azerbaijan
Iceland,St. Vincent and the Grenadines,,Timor-Leste,Afghanistan
Ireland,Trinidad and Tobago,,Vietnam,Algeria
Italy,United States,,Bahrain,Comoros
Kosovo,,,,Turkey
Latvia,,,,Djibouti
Liechtenstein,,,,Egypt
Lithuania,,,,Gambia
Luxembourg,,,,Guinea
Macedonia,,,,Kosovo
Malta,,,,Libya
Moldova,,,,Maldives
Monaco,,,,Mali
Montenegro,,,,Mauritania
Netherlands,,,,Mayotte
Norway,,,,Morocco
Poland,,,,Niger
Portugal,,,,Senegal
Romania,,,,Somaliland
San Marino,,,,Sudan
Serbia,,,,Tunisia
Slovakia,,,,
Slovenia,,,,
Spain,,,,
Sweden,,,,
Switzerland,,,,
Turkey,,,,
Ukraine,,,,
United Kingdom,,,,
Vatican City,,,,
